,belongs_to_collection,budget,revenue,runtime,title,Animation,Comedy,Family,Adventure,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,History,Science Fiction,Mystery,War,Foreign,Music,Documentary,Western,TV Movie,english,release_year,release_month
0,1,30000000,1.0,81.0,Toy Story,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,10
1,0,65000000,1.0,104.0,Jumanji,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,12
2,1,0,0.0,101.0,Grumpier Old Men,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,12
3,0,16000000,1.0,127.0,Waiting to Exhale,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,12
4,1,0,1.0,106.0,Father of the Bride Part II,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,2
5,0,60000000,1.0,170.0,Heat,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,25,12
6,0,58000000,0.0,127.0,Sabrina,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,12
7,0,0,0.0,97.0,Tom and Huck,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,25,12
8,0,35000000,1.0,106.0,Sudden Death,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,25,12
9,1,58000000,1.0,130.0,GoldenEye,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,25,11
10,0,62000000,1.0,106.0,The American President,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,11
11,0,0,0.0,88.0,Dracula: Dead and Loving It,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,25,12
12,1,0,1.0,78.0,Balto,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,12
13,0,44000000,1.0,192.0,Nixon,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,25,12
14,0,98000000,1.0,119.0,Cutthroat Island,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,25,12
15,0,52000000,1.0,178.0,Casino,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,25,11
16,0,16500000,1.0,136.0,Sense and Sensibility,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,12
17,0,4000000,1.0,98.0,Four Rooms,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,25,12
18,1,30000000,1.0,90.0,Ace Ventura: When Nature Calls,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,25,11
19,0,60000000,1.0,103.0,Money Train,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,25,11
20,1,30250000,1.0,105.0,Get Shorty,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,25,10
21,0,0,0.0,124.0,Copycat,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,25,10
22,0,50000000,1.0,132.0,Assassins,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,25,10
23,0,0,0.0,111.0,Powder,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,25,10
24,0,3600000,1.0,112.0,Leaving Las Vegas,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,10
25,0,0,0.0,123.0,Othello,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,12
26,0,12000000,1.0,100.0,Now and Then,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,10
27,0,0,0.0,104.0,Persuasion,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,9
28,0,18000000,1.0,108.0,The City of Lost Children,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,5
29,0,0,0.0,108.0,Shanghai Triad,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,4
30,0,0,1.0,99.0,Dangerous Minds,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,25,8
31,0,29500000,1.0,129.0,Twelve Monkeys,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,25,12
32,0,0,0.0,50.0,Wings of Courage,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,9
33,1,30000000,1.0,89.0,Babe,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,7
34,0,0,0.0,121.0,Carrington,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,25,11
35,0,11000000,1.0,122.0,Dead Man Walking,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,12
36,0,0,0.0,51.0,Across the Sea of Time,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,25,10
37,0,0,0.0,101.0,It Takes Two,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,11
38,0,12000000,0.0,97.0,Clueless,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,7
39,0,0,1.0,106.0,"Cry, the Beloved Country",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,12
40,0,0,0.0,104.0,Richard III,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,25,12
41,0,10000000,0.0,119.0,Dead Presidents,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,25,10
42,0,19000000,0.0,117.0,Restoration,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,12
43,1,18000000,1.0,101.0,Mortal Kombat,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,25,8
44,0,20000000,1.0,106.0,To Die For,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,25,5
45,0,10000000,1.0,116.0,How To Make An American Quilt,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,10
46,0,33000000,1.0,127.0,Se7en,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,25,9
47,1,55000000,1.0,81.0,Pocahontas,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,6
48,0,0,0.0,96.0,When Night Is Falling,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,5
49,0,6000000,1.0,106.0,The Usual Suspects,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,25,7
50,0,0,0.0,93.0,Guardian Angel,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,24,11
51,0,15000000,1.0,95.0,Mighty Aphrodite,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,9
52,0,0,0.0,116.0,Lamerica,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,1
53,0,0,0.0,100.0,The Big Green,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,25,9
54,0,0,0.0,115.0,Georgia,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,5
55,0,0,0.0,89.0,Kids of the Round Table,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,7
56,0,0,1.0,103.0,Home for the Holidays,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,11
