,belongs_to_collection,budget,revenue,runtime,title,Animation,Comedy,Family,Adventure,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,History,Science Fiction,Mystery,War,Foreign,Music,Documentary,Western,TV Movie,english,release_year,release_month
0,1,30000000,1.0,81.0,Toy Story,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,10.0
1,0,65000000,1.0,104.0,Jumanji,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,12.0
2,1,0,0.0,101.0,Grumpier Old Men,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,12.0
3,0,16000000,1.0,127.0,Waiting to Exhale,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,12.0
4,1,0,1.0,106.0,Father of the Bride Part II,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,2.0
5,0,60000000,1.0,170.0,Heat,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1995,12.0
6,0,58000000,0.0,127.0,Sabrina,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,12.0
7,0,0,0.0,97.0,Tom and Huck,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,12.0
8,0,35000000,1.0,106.0,Sudden Death,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1995,12.0
9,1,58000000,1.0,130.0,GoldenEye,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1995,11.0
10,0,62000000,1.0,106.0,The American President,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,11.0
11,0,0,0.0,88.0,Dracula: Dead and Loving It,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1995,12.0
12,1,0,1.0,78.0,Balto,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,12.0
13,0,44000000,1.0,192.0,Nixon,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1995,12.0
14,0,98000000,1.0,119.0,Cutthroat Island,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,12.0
15,0,52000000,1.0,178.0,Casino,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1995,11.0
16,0,16500000,1.0,136.0,Sense and Sensibility,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,12.0
17,0,4000000,1.0,98.0,Four Rooms,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1995,12.0
18,1,30000000,1.0,90.0,Ace Ventura: When Nature Calls,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1995,11.0
19,0,60000000,1.0,103.0,Money Train,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1995,11.0
20,1,30250000,1.0,105.0,Get Shorty,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1995,10.0
21,0,0,0.0,124.0,Copycat,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1995,10.0
22,0,50000000,1.0,132.0,Assassins,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1995,10.0
23,0,0,0.0,111.0,Powder,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1995,10.0
24,0,3600000,1.0,112.0,Leaving Las Vegas,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,10.0
25,0,0,0.0,123.0,Othello,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,12.0
26,0,12000000,1.0,100.0,Now and Then,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,10.0
27,0,0,0.0,104.0,Persuasion,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,9.0
28,0,18000000,1.0,108.0,The City of Lost Children,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1995,5.0
29,0,0,0.0,108.0,Shanghai Triad,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1995,4.0
30,0,0,1.0,99.0,Dangerous Minds,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1995,8.0
31,0,29500000,1.0,129.0,Twelve Monkeys,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1995,12.0
32,0,0,0.0,50.0,Wings of Courage,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,9.0
33,1,30000000,1.0,89.0,Babe,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,7.0
34,0,0,0.0,121.0,Carrington,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1995,11.0
35,0,11000000,1.0,122.0,Dead Man Walking,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,12.0
36,0,0,0.0,51.0,Across the Sea of Time,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1995,10.0
37,0,0,0.0,101.0,It Takes Two,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,11.0
38,0,12000000,0.0,97.0,Clueless,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,7.0
39,0,0,1.0,106.0,"Cry, the Beloved Country",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,12.0
40,0,0,0.0,104.0,Richard III,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1995,12.0
41,0,10000000,0.0,119.0,Dead Presidents,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1995,10.0
42,0,19000000,0.0,117.0,Restoration,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,12.0
43,1,18000000,1.0,101.0,Mortal Kombat,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,8.0
44,0,20000000,1.0,106.0,To Die For,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1995,5.0
45,0,10000000,1.0,116.0,How To Make An American Quilt,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,10.0
46,0,33000000,1.0,127.0,Se7en,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1995,9.0
47,1,55000000,1.0,81.0,Pocahontas,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,6.0
48,0,0,0.0,96.0,When Night Is Falling,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,5.0
49,0,6000000,1.0,106.0,The Usual Suspects,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1995,7.0
50,0,0,0.0,93.0,Guardian Angel,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1994,11.0
51,0,15000000,1.0,95.0,Mighty Aphrodite,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,9.0
52,0,0,0.0,116.0,Lamerica,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1994,1.0
53,0,0,0.0,100.0,The Big Green,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,9.0
54,0,0,0.0,115.0,Georgia,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1995,5.0
55,0,0,0.0,89.0,Kids of the Round Table,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1997,7.0
